country,countryLabel,language,type,count
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9292,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9240,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q25448,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,142
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,76
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9176,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q25448,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q652,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5287,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9299,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q33578,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1572989,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,94
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,37
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,6
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7026,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q25448,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q32641,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,55
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,13
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q809,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,46
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,2
