country,countryLabel,ageGroup,count
http://www.wikidata.org/entity/Q233,Malta,15-24 youth,10
http://www.wikidata.org/entity/Q233,Malta,25-59 adult,350
http://www.wikidata.org/entity/Q233,Malta,60+ senior,276
http://www.wikidata.org/entity/Q709,Marshall Islands,25-59 adult,14
http://www.wikidata.org/entity/Q709,Marshall Islands,60+ senior,6
http://www.wikidata.org/entity/Q1025,Mauritania,15-24 youth,2
http://www.wikidata.org/entity/Q1025,Mauritania,25-59 adult,120
http://www.wikidata.org/entity/Q1025,Mauritania,60+ senior,87
http://www.wikidata.org/entity/Q1027,Mauritius,15-24 youth,1
http://www.wikidata.org/entity/Q1027,Mauritius,25-59 adult,213
http://www.wikidata.org/entity/Q1027,Mauritius,60+ senior,82
http://www.wikidata.org/entity/Q96,Mexico,0-14 child,8
http://www.wikidata.org/entity/Q96,Mexico,15-24 youth,323
http://www.wikidata.org/entity/Q96,Mexico,25-59 adult,9315
http://www.wikidata.org/entity/Q96,Mexico,60+ senior,5952
http://www.wikidata.org/entity/Q217,Moldova,15-24 youth,40
http://www.wikidata.org/entity/Q217,Moldova,25-59 adult,1309
http://www.wikidata.org/entity/Q217,Moldova,60+ senior,809
http://www.wikidata.org/entity/Q235,Monaco,0-14 child,4
http://www.wikidata.org/entity/Q235,Monaco,15-24 youth,8
http://www.wikidata.org/entity/Q235,Monaco,25-59 adult,105
http://www.wikidata.org/entity/Q235,Monaco,60+ senior,91
http://www.wikidata.org/entity/Q711,Mongolia,15-24 youth,9
http://www.wikidata.org/entity/Q711,Mongolia,25-59 adult,502
http://www.wikidata.org/entity/Q711,Mongolia,60+ senior,297
http://www.wikidata.org/entity/Q236,Montenegro,15-24 youth,50
http://www.wikidata.org/entity/Q236,Montenegro,25-59 adult,1041
http://www.wikidata.org/entity/Q236,Montenegro,60+ senior,394
http://www.wikidata.org/entity/Q1028,Morocco,0-14 child,1
http://www.wikidata.org/entity/Q1028,Morocco,15-24 youth,78
http://www.wikidata.org/entity/Q1028,Morocco,25-59 adult,2200
http://www.wikidata.org/entity/Q1028,Morocco,60+ senior,2100
http://www.wikidata.org/entity/Q1029,Mozambique,15-24 youth,3
http://www.wikidata.org/entity/Q1029,Mozambique,25-59 adult,335
http://www.wikidata.org/entity/Q1029,Mozambique,60+ senior,225
http://www.wikidata.org/entity/Q836,Myanmar,15-24 youth,8
http://www.wikidata.org/entity/Q836,Myanmar,25-59 adult,603
http://www.wikidata.org/entity/Q836,Myanmar,60+ senior,482
http://www.wikidata.org/entity/Q1030,Namibia,15-24 youth,12
http://www.wikidata.org/entity/Q1030,Namibia,25-59 adult,497
http://www.wikidata.org/entity/Q1030,Namibia,60+ senior,147
http://www.wikidata.org/entity/Q697,Nauru,25-59 adult,34
http://www.wikidata.org/entity/Q697,Nauru,60+ senior,16
http://www.wikidata.org/entity/Q837,Nepal,0-14 child,2
http://www.wikidata.org/entity/Q837,Nepal,15-24 youth,22
http://www.wikidata.org/entity/Q837,Nepal,25-59 adult,644
http://www.wikidata.org/entity/Q837,Nepal,60+ senior,293
