Country,Gender,Count
Western Sahara,Male,26
Western Sahara,Female,7
Western Sahara,Unknown,1
Yemen,Male,633
Yemen,Female,93
Yemen,Unknown,3
Yemen,Non-binary or other,1
Zambia,Male,684
Zambia,Female,189
Zambia,Unknown,6
Zambia,Non-binary or other,1
Zimbabwe,Male,1367
Zimbabwe,Female,360
Zimbabwe,Unknown,8
