Country,Ethnic Group,Gender,Count
Hungary,Hungarians,Female,5
Hungary,Hungarians,Male,11
Hungary,Jewish people,Female,2
Hungary,Jewish people,Male,14
Hungary,Lovari,Female,1
Hungary,Lovari,Male,1
Hungary,Romani people,Female,1
Hungary,Romani people,Male,7
Hungary,Romani people in Hungary,Female,2
Hungary,Romani people in Hungary,Male,3
Hungary,Slovaks,Male,2
Hungary,Slovenes,Male,4
Hungary,Vlax Romani,Female,1
Hungary,Vlax Romani,Male,1
Hungary,white people,Female,8
Iceland,Icelanders,Male,4
India,Bengali,Female,2
India,Bengali,Male,6
India,Bengali,Unknown,9
India,Gujarati people,Female,1
India,Gujarati people,Male,3
India,Ho people,Female,2
India,Ho people,Male,1
India,Indian Americans,Female,9
India,Indian Americans,Male,6
India,Indian Americans,Unknown,1
India,Indians,Female,2
India,Indians,Male,19
India,Marathi people,Female,1
India,Marathi people,Male,1
India,Marathi people,Unknown,1
India,Odia people,Female,10
India,Odia people,Male,28
India,Odia people,Unknown,1
India,Punjabis,Female,1
India,Punjabis,Male,2
India,Punjabis,Unknown,2
India,Rajasthani people,Female,1
India,Rajasthani people,Male,3
India,Santal people,Male,2
India,Santal people,Unknown,3
India,Tamil,Male,8
India,Tamil,Unknown,14
India,Telugu people,Female,1
India,Telugu people,Male,5
India,Telugu people,Unknown,7
Indonesia,Aceh,Male,2
Indonesia,Aceh,Unknown,2
Indonesia,Balinese,Female,4
Indonesia,Balinese,Male,2
Indonesia,Batak,Female,1
Indonesia,Batak,Male,5
Indonesia,Batak,Unknown,4
Indonesia,Buginese people,Female,2
Indonesia,Buginese people,Male,1
Indonesia,Buginese people,Unknown,3
Indonesia,Chinese Indonesians,Female,10
Indonesia,Chinese Indonesians,Male,75
Indonesia,Chinese Indonesians,Unknown,7
Indonesia,Indo people,Female,1
Indonesia,Indo people,Male,8
Indonesia,Javanese,Female,10
Indonesia,Javanese,Male,12
Indonesia,Karo Batak pople,Male,4
Indonesia,Malays,Female,8
Indonesia,Malays,Male,2
Indonesia,Minangkabau,Female,373
Indonesia,Minangkabau,Male,1298
Indonesia,Minangkabau,Unknown,6
Indonesia,Sundanese people,Female,9
Indonesia,Sundanese people,Male,2
Indonesia,Sundanese people,Unknown,3
Indonesia,Toba Batak,Female,1
Indonesia,Toba Batak,Male,3
Indonesia,Toba Batak,Unknown,1
Iran,Arabs,Female,1
Iran,Arabs,Male,5
Iran,Armenians,Female,4
Iran,Armenians,Male,23
Iran,Armenians,Unknown,2
Iran,Azerbaijanis,Male,5
Iran,Azerbaijanis,Unknown,2
Iran,Iranian Americans,Female,10
Iran,Iranian Americans,Male,2
Iran,Iranian Americans,Unknown,2
Iran,Iranian Arabs,Female,1
Iran,Iranian Arabs,Male,5
Iran,Iranian Armenians,Female,9
